epoch,accuracy,loss,val_accuracy,val_loss
0,0.9959479570388794,0.009488718584179878,0.9996563792228699,0.015049035660922527
1,1.0,7.583542173961177e-05,0.9996563792228699,0.011088954284787178
2,1.0,1.5776568034198135e-05,0.9996563792228699,0.007376307621598244
3,1.0,4.888050170848146e-06,0.9996563792228699,0.006876567378640175
4,1.0,1.6784894114607596e-06,0.9996563792228699,0.006906040944159031
5,1.0,1.3941162251285277e-06,0.9996563792228699,0.007071422412991524
6,1.0,7.97240147676348e-07,0.9996563792228699,0.007236935663968325
7,1.0,9.53768221734208e-07,0.9996563792228699,0.007308582309633493
8,1.0,4.6461653369078704e-07,0.9996563792228699,0.007479271851480007
9,1.0,2.964211205380707e-07,0.9996563792228699,0.0076392702758312225
0,1.0,2.83566578218597e-07,0.9996563792228699,0.007959756068885326
1,1.0,1.498962376444979e-07,0.9996563792228699,0.008079861290752888
2,1.0,1.31105238665441e-07,0.9996563792228699,0.008227073587477207
3,1.0,8.217357105877454e-08,0.9996563792228699,0.008351895958185196
4,1.0,7.466510254516834e-08,0.9996563792228699,0.008465968072414398
5,1.0,5.7452012924841256e-08,0.9996563792228699,0.008611112833023071
0,0.9992825984954834,0.014242359437048435,1.0,0.012229456566274166
1,0.9992825984954834,0.006818864494562149,1.0,0.0017066065920516849
2,0.9992825984954834,0.00892910361289978,1.0,0.0006367546156980097
3,0.9992825984954834,0.005998578853905201,1.0,0.000996795599348843
4,0.9992825984954834,0.005351549945771694,1.0,0.0004982931423000991
5,0.9992825984954834,0.005326191429048777,1.0,0.00012853169755544513
6,0.9993622899055481,0.0044848183169960976,1.0,0.00029767354135401547
7,0.9992028474807739,0.005301077850162983,1.0,6.205250247148797e-05
8,0.9992825984954834,0.005488854832947254,1.0,2.0757004676852375e-05
9,0.9992825984954834,0.00414610467851162,1.0,2.3226804842124693e-05
10,0.9995217323303223,0.0032228524796664715,1.0,7.234016084112227e-05
11,0.9995217323303223,0.0036543640308082104,1.0,0.00014195429685059935
12,0.9993622899055481,0.0040985047817230225,1.0,3.8257647247519344e-05
13,0.9995217323303223,0.0034380913712084293,1.0,0.00039108513738028705
